Scenario_ID,Type,N_Chargers,Lat,Lng,Hub_ID
Baseline_50,Baseline,50,41.40400765177718,2.161856571127608,24
Baseline_50,Baseline,50,41.36021454874211,2.1375760423607764,25
Baseline_50,Baseline,50,41.32586355152246,2.1284405616072037,26
Baseline_50,Baseline,50,41.40763619037035,2.1886265343561515,27
Baseline_50,Baseline,50,41.4225870587637,2.2012496372882993,28
Baseline_50,Baseline,50,41.40733665687359,2.186929181258513,29
Baseline_50,Baseline,50,41.41419085056225,2.1877704706922825,30
Baseline_50,Baseline,50,41.4118421121797,2.216401571378859,31
Baseline_50,Baseline,50,41.41117056583114,2.1619086985974074,32
Baseline_50,Baseline,50,41.42194344048681,2.152688531986612,33
Baseline_50,Baseline,50,41.38588164283154,2.1902354808021647,34
Baseline_50,Baseline,50,41.370880950991506,2.1820009989307163,35
Baseline_50,Baseline,50,41.38953865323106,2.1700665401514385,36
Baseline_50,Baseline,50,41.41042372934858,2.1590415908734237,37
Baseline_50,Baseline,50,41.3983705334731,2.2099827348756813,38
Baseline_50,Baseline,50,41.41532502885538,2.189928579529768,39
Baseline_50,Baseline,50,41.38991025546734,2.149668080731141,40
Baseline_50,Baseline,50,41.42100343755878,2.2077001042363795,41
Baseline_50,Baseline,50,41.424528970759326,2.20034579763788,42
Baseline_50,Baseline,50,41.35574874903659,2.1464447894006327,43
Baseline_50,Baseline,50,41.43726483484899,2.174805223880703,44
Baseline_50,Baseline,50,41.40056572925922,2.171436415841576,45
Baseline_50,Baseline,50,41.41014891496778,2.177910396005253,46
Baseline_50,Baseline,50,41.4099492270955,2.1628750642798966,47
Baseline_50,Baseline,50,41.38935845413533,2.1863717770581776,48
Baseline_50,Baseline,50,41.404744405406994,2.1569541419979847,49
Baseline_50,Baseline,50,41.360024011928765,2.14360449809612,50
Smart_50,Smart,50,41.397451614383954,2.143010396263589,1
Smart_50,Smart,50,41.418819771245104,2.173626026819861,2
Smart_50,Smart,50,41.369065846837316,2.1364343975038684,3
Smart_50,Smart,50,41.41112312399473,2.202629362853069,4
Smart_50,Smart,50,41.386306451459355,2.1828877524221695,5
Smart_50,Smart,50,41.391032190183424,2.110191163305495,6
Smart_50,Smart,50,41.429840418912306,2.1501022839927546,7
Smart_50,Smart,50,41.43695063772891,2.1902345466451334,8
Smart_50,Smart,50,41.339081393177395,2.141843723544872,9
Smart_50,Smart,50,41.41949568361774,2.089460713709983,10
Smart_50,Smart,50,41.38305578525123,2.1489697242572614,11
Smart_50,Smart,50,41.43628450434389,2.168664684328979,12
Smart_50,Smart,50,41.40545284545145,2.1765351648152427,13
Smart_50,Smart,50,41.39998643622865,2.202394549588548,14
Smart_50,Smart,50,41.40311170930474,2.1568810560488303,15
Smart_50,Smart,50,41.409805810522826,2.190020230866285,16
Smart_50,Smart,50,41.40980110388203,2.1301826793662646,17
Smart_50,Smart,50,41.39801147751742,2.1298435519579133,18
Smart_50,Smart,50,41.408350880673034,2.2144257697510232,19
Smart_50,Smart,50,41.40862949387447,2.1662333964183076,20
Smart_50,Smart,50,41.41864075745881,2.14418094506118,21
Smart_50,Smart,50,41.44370256028997,2.178992038404826,22
Smart_50,Smart,50,41.393892198915566,2.168204006737145,23
Smart_50,Smart,50,41.421901594786384,2.1891304457358474,24
Smart_50,Smart,50,41.372624332262966,2.144576026538146,25
Smart_50,Smart,50,41.43526641201301,2.1377667195619585,26
Smart_50,Smart,50,41.39861299492045,2.190249554511566,27
Smart_50,Smart,50,41.386924346275514,2.134687322088174,28
Smart_50,Smart,50,41.365388829046864,2.1582106053114387,29
Smart_50,Smart,50,41.381193718826715,2.1173991208679563,30
Smart_50,Smart,50,41.38934718036458,2.155172901173043,31
Smart_50,Smart,50,41.436964739739615,2.201881196679562,32
Smart_50,Smart,50,41.41686182167704,2.1980064288998373,33
Smart_50,Smart,50,41.37746465294783,2.136349193346409,34
Smart_50,Smart,50,41.39073232665849,2.1966294080059168,35
Smart_50,Smart,50,41.419248497792374,2.158434048598075,36
Smart_50,Smart,50,41.45997312885179,2.177079996951993,37
